Time,Data
0.592,-0.12570220697545748
0.593,-0.13369202963193366
0.594,-0.1353849636891638
0.595,-0.13193022800850973
0.596,-0.12691099242583118
0.597,-0.12920874568694496
0.598,-0.1298116268584296
0.599,-0.12160831626212013
0.6,-0.11821052336026594
0.601,-0.1188395214057626
0.602,-0.12029747196868339
0.603,-0.1240258081539434
0.604,-0.13123473811077707
0.605,-0.13707382567164547
0.606,-0.1378064253459225
0.607,-0.13895173371643552
0.608,-0.13336681289961
0.609,-0.13425497694906946
0.61,-0.12910315727975372
0.611,-0.12056568818134879
0.612,-0.1163222446529885
0.613,-0.11794141342939311
0.614,-0.12277809854262041
0.615,-0.11692374033860085
0.616,-0.11121551497391587
0.617,-0.11729732606814246
0.618,-0.12671452830986857
0.619,-0.12901825845371687
0.62,-0.12685511129488883
0.621,-0.13402338947016101
0.622,-0.14148668277481813
0.623,-0.1403466216064416
0.624,-0.13378655608410736
0.625,-0.1320042800616037
0.626,-0.1361533285002074
0.627,-0.13430866463836932
0.628,-0.1334648471747128
0.629,-0.13356511377419242
0.63,-0.12655077846868326
0.631,-0.1194142862424111
0.632,-0.11623780772362512
0.633,-0.11420283752672654
0.634,-0.11456404430767332
0.635,-0.11459067777348288
0.636,-0.10748860179463289
0.637,-0.10832291506036905
0.638,-0.11196318931681845
0.639,-0.11006977696459305
0.64,-0.11013096399349388
0.641,-0.11054881296965667
0.642,-0.10975909612888433
0.643,-0.10936078088200318
0.644,-0.10722568669865865
0.645,-0.10256070184130342
0.646,-0.09790336999389362
0.647,-0.09004520958541282
0.648,-0.0858930101046011
0.649,-0.08929306232579558
0.65,-0.09185340081613412
0.651,-0.09380210536185071
0.652,-0.09991444261015162
0.653,-0.10752884240879415
0.654,-0.11265381928320042
0.655,-0.12114863716327857
0.656,-0.13094392551348402
0.657,-0.13925832147093228
0.658,-0.138766014401002
0.659,-0.12767843927994285
0.66,-0.12371988498180675
0.661,-0.1259982204396143
0.662,-0.12079389065387619
0.663,-0.10830813419909717
0.664,-0.10142110557513898
0.665,-0.10850994008169905
0.666,-0.11436561783846629
0.667,-0.11522785237063536
0.668,-0.11893308714162397
0.669,-0.1251470264061908
0.67,-0.12563496412589883
0.671,-0.12651445998527788
0.672,-0.12643767651449245
0.673,-0.11466457336923895
0.674,-0.10001042706457709
0.675,-0.09367725140641218
0.676,-0.08600318709753235
0.677,-0.0781816097211561
0.678,-0.07200873295422118
0.679,-0.06871321343480731
0.68,-0.0739046289520142
0.681,-0.07965305556189385
0.682,-0.07868440819659822
0.683,-0.08065151734072225
0.684,-0.08242434731962119
0.685,-0.08433792802490325
0.686,-0.08134464805410853
0.687,-0.07203700947289049
0.688,-0.06353382035198743
0.689,-0.05525153628579942
0.69,-0.0456070347706288
0.691,-0.04171330147747349
0.692,-0.044132021465636585
0.693,-0.04773622147583924
